model,description
fiesta,"RED, HERE WE HAVE A LITTLE TRADE IN BARGAIN TO CLEAR, BEING SOLD AS SPARES OR REPAIRS DUE TO NOT HAVING MOT, THE CAR STARTS AND DRIVES VERY WELL AND HAS RECENTLY HAD A SERVICE, COMES WITH A GOOD SPEC WITH FRONT ELECTRIC WINDOWS, POWER STEERING. PLEASE CALL FIRST TO AVOID DISAPPOINTMENT, SEE OUR WEBSITE FOR ALL OUR CARS, ALL MAJOR DEBIT AND CREDIT CARDS ACCEPTED, PX ALWAYS WELCOME, VIST AA CARS.COM OR CARSMARTNORTHWEST.CO.UK FOR MANY MORE VEHICLES!, £300 p/x to clear"
polo,"This is an excellent little runner, rarely used, hugely beneficial for the young or the elderly and has completed on a number of occasions, journeys to N Yorkshire ( great motorway car). It has a 12 month MOT, has completed 78000 miles (extremely low mileage) and is economical and the perfect run around. Elec front windows, new wipers, new tire. Good luck to the lucky winner of this beauty. It must sell due to relocation of employment., SILVER, 5 seats, £600"
astra,"GREEN, SOLD AS SPARES OR REPAIRS, Tidy bodywork. MOT December 2015., Electric Windows, In Car Entertainment. 5 seats, CALL 07583 159407 or 0121 382 2905  to view, Flexible times available up to 7pm, £300"
focus,"CAR HAS BEEN SOLD!, RED, Next MOT due 31/07/2015, Electric windows, CD player, Height adjustable driver's seat, Folding rear seats, Metallic paint, 15"" Alloy Wheels, Spare wheel (Space-saver), Power steering, Traction control, Immobiliser, Driver's airbags, Passenger airbags. 5 seats, £400"
corsa,"BLUE, LONG MOT, POWER STEERING, CENTRAL LOCKING, VERY GOOD RUNNER, CHEAP TAX AND INSURANCE, VERY ECONOMICAL TO RUN, CLEAN CAR INSIDE OUT FOR ITS AGE, PART EX WELCOME, Next MOT due 15/03/2016, Electric Windows, In Car Entertainment. had new breaks,WARANTEED MILEAGE., £495 ovno"
corsa,"SILVER, 12 MONTHS MOT, DOOD RUNNER, FREE DRIVEAWAY INSURANCE!, Next MOT due 11/05/2016, Service history, Air-Conditioning, Alarm, Alloy Wheels, Computer, Electric Windows, In Car Entertainment, Central locking, Electric windows. 5 seats, ALL MAJOR CREDIT/DEBIT CARDS ACCEPTED,WE ARE OPEN 7 DAYS A WEEK , FOR OTHER VEHICLES , CALL .:07708589466 ,DELIVERY AVAILABLE FOR ADDITIONAL FEE, FOR MORE CARS VISIT US ON www.proxymcars.co.uk, £499 p/x to clear"
polo,"RED, vw polo  full history  low miles, Next MOT due 15/10/2015, 5 seats, Look how clean this car is   inside and outside   drives like new   smooth car   electric windows   low mileage  2 keys cheap to insure and run   no timewasters please   px available delivery available   first to drive will buy   ring me for more information on 07948 169222, £595"
focus,"SILVER, Lovely car. Good condition throughout. Px to clear. Very cheap. Runs and drives fine but clutch slips. Can be sold with new clutch. Call for a quotation., Next MOT due 03/06/2016, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, Open 7 days a week. Call to arrange a viewing. Many cars in stock. Ring for full stock list., £500 p/x welcome"
polo,"PRICE DROPPED Silver 3 door Volkswagen Polo 9n 1.2 lots of receipts, including clutch I had fitted.  There's a few marks on the body etc as you'd imagine for a car over 10years old., The car has a misfire, I don't know much about cars but I had it plugged in and it says cylinder 2. The car has an Mot until 03/10/2015 133000 miles and used as daily so will go up, has the misfire but can be driven away., SILVER, 5 seats, £450"
golf,"SPARES/REPAIRS the throttle body and most of the exhaust system are on 5000miles, solid suspension and good tires. It has a problem with the engine. Its is still running but there is a risk. Viewings anytime at the weekend. Mon-fri 17:00 - 20:00., GREEN, Electric sunroof, Electric windows, Folding rear seats, Spare wheel (Full). 5 seats, £400"
focus,"SILVER, CAN TAX,VOSA REPORT TO COMFIRM MILES,HPI CLEAR,PILE OF PRE MOTS/INVOICES,RECENT NEW CLUTCH IN APRIL,CLOTH INTR,PX TO CLEAR,BARGIN BUY!!!!, Next MOT due 01/07/2015, Service history, Average bodywork, Interior - Clean Condition, Alloy Wheels, Electric Windows, In Car Entertainment, Radio, CD Player, Power steering, Electric windows, Remote central locking, Immobiliser, Electric door mirrors, Alloy wheels, Airbags. 5 seats, ALL OTHER USUALL FOCUS ZETEC REFINEMENTS,LOOKS/DRIVES GREAT,PX TO CLEAR,IDEAL CHEAP RUNABOUT,MUST BE SEEN,PLS VISIT WWW.CENTRALAUTOSDUDLEY.CO.UK to view further stock,aprox 50 cars from £200,px welcome,all major credit/debit cards accepted., £495 may p/x"
fiesta,"RED, Starts runs abd drives mot till mid mov 15  a few knocks has a noucy exhaust has been converted to a small van no offers please do not call me and ask lowest price, In Car Entertainment. 5 seats, £200"
polo,"SILVER, Air-Conditioning, Alarm, Alloy Wheels, Electric Windows, In Car Entertainment. PLEASE CALL FOR INFO !!, £500 p/x to clear"
corsa,"BLUE, 12 MONTHS MOT, OIL AND FILTER CHANGED, EXCELLENT FIRST TIME CAR, Next MOT due 29/05/2016, Computer, In Car Entertainment, Folding rear seats, Airbags, Radio, CD Player. 5 seats, £395"
corsa,"BLACK, Part Exchange Bargain. Cheap Corsa Could Be Ideal For Runaround. Or For Spares And Repairs. However Car Does Run Fine and Includes MOT Until January 2016.  No Service History or Handbooks Present With Vehicle. Condition on Interior and Exterior Average. 4 Keepers. Spec - Airbags, Computer, Electric Windows, In Car Entertainment. 5 seats, £495"
astra,", HPI clear, realy good drieve  Good Condition, Tyre condition Good, Electric Windows, In Car Entertainment., RED, Next MOT due 05/09/2015, Alarm. 5 seats, £299"
corsa,"SILVER, : BIG SALE: WAS £1,757, NOW £500 MOT FEB 2016, JUST SERVICED! PX TO CLEAR, SPARES & REPAIRS ONLY!! HPI CLEAR, Air-Conditioning, Alloy Wheels, Electric Windows, In Car Entertainment, Paint Metallic. 5 seats, Finance Available, Warranty Offered, 5 Days Drive Away Cover (Subject to Application), P/X Welcomed, £500"
500,"WHITE, 2010  Fiat 500 1.2 Sport ( stop start), Start/Stop System. 4 seats, Fiat 500 1.2 Sport , just in, genuine low miles, service history, hpi clear with AA report available,  low insurance , 30 a year tax, a/con, e/windows, e/mirrors, alloys, half leather sport seats, computer, phone system, usb connection, 2 keys,  cd player, good condition apart from small dent as seen in pict and a small scuff and short mot end July, hence buy now price, i have worked booked in next week if not sold by Monday then price will go up to trade value £5499 . drives perfect, any inspection welcome, part exchange considered ,  fully insured test drive welcome,  warranty available, viewing between 9-6  by appointment only., £4,599"
focus,"WHITE, Ex police car .reliable motor ..Many other cars on our web site ., Next MOT due 08/07/2015, Service history, Air-Conditioning, Alloy Wheels, Electric Windows, Heated Front Screen, In Car Entertainment. 5 seats, See our 30 other vehicles  click through  to our web site, £490 ono"
focus,"SILVER, MINOR N/S FRONT DAMAGE, Air-Conditioning, Alloy Wheels, Electric Windows, Heated Front Screen, In Car Entertainment. 5 seats, TO VIEW OUR FURTHER 500 SIMILAR DAMAGED VEHICLES GO TO www.chaseautos.com, £395"
focus,"GREEN, 5 seats, FORD FOCUS 1.6 16v LX, 5 DOOR, MANUAL, 2001, 'X' REG, METALLIC GREEN, CONTRASTING VELOUR TRIM, ELECTRIC WINDOWS, POWER STEERING, AIR CONDITIONING, REMOTE LOCKING ALARM, SAME OWNERS PAST 10 YEARS, MOT END OCTOBER 2015, 147,000 MILES, HPI CLEAR, BARGAIN, VIEWING BY APPOINTMENT, £494 may p/x"
corsa,"GREEN, FRIENDLY FAMILY RUN BUSINESS NOW IN OUR 15th YEAR, £195 p/x to clear"
500,"WHITE, Electric Windows, In Car Entertainment, Air conditioning, Airbags, Alarm, Central locking, Electric door mirrors, Electric windows, Height adjustable drivers seat, Power steering, Remote central locking, Radio. 4 seats, £4,490 p/x welcome"
corsa,"Ideal for first time buyers, good on fuel. And nice to drive , Right wing is slightly damaged and there is a slight oil leak that did pass its last MOT, The MOT is due in July sometime , The car is Bluetooth compatible and will play DVD's as well., Will listen to offers as well, BLACK, DVD, CD player, Height adjustable driver's seat, 15"" Alloy Wheels, Immobiliser, Driver's airbags, Side airbags, Passenger airbags. 5 seats, £500"
500,"Nice Fiat 500 for sale, 53000 miles, daughter is moving to London with no need for car hence sale. Very clean inside with part leather seats, grey and cream upholstery. Attached photos show slight wear and tear on bodywork but bumps with no paint damage.  Priced to reflect. Optional extras of metallic silver paint, air conditioning and part leather seats., SILVER, 2 owners, Next MOT due 05/10/2015, Part service history, Electric windows, Air conditioning, CD player, Leather trim, Height adjustable driver's seat, Folding rear seats, Metallic paint, Spare wheel (Full), Power steering, Steering wheel rake adjustment, Central locking, Immobiliser, Driver's airbags, Passenger airbags. 4 seats, £4,100"
500,"Black, Call 0113 200 3206, Photographs Of Actual Car, MOT Until Mar 2016, Half Leather, Air Conditioning, Sports Button, Steering Wheel Audio Controls, USB Connectivity, Auxiliary Port, Front Fog Lights, Rear Spoiler, Rear Wash Wipe, Sunroof, Tinted Windows, Radio CD Player, 12v Auxiliary Power Socket, Electric Mirrors, Electric Windows, Piano Black Dash, Rear Headrest, Trip Computer, Wind Deflector, 6 Speed Manual Gearbox, ABS, Power Assisted Steering (PAS), Vehicle history check completed on this vehicle, Airbags, Immobiliser, Remote Central Locking, Alloy Wheels, £99 deposit secures this vehicle, Physical Car Available For Viewing Today. 4 seats, £4,207"
corsa,"Awesome little car, looks great, drives well, low millage for year, great project for youngster, or to break., The car does need a new head gasket (hence the price), I just don't have the time and health anymore., BLUE, 3 owners, Next MOT due 30/10/2015, Part service history, Electric windows, Alloy wheels, Power steering, Central locking, Driver's airbags, Passenger airbags. 5 seats, £399"
polo,"Drives great and in very good condition., BLUE, 5 seats, £595"
astra,"SILVER, PLENTY OF HISTORY PREVIOUS INVOICES AND BILLS AND MOT'S, BARGAIN AUTO ESTATE, ALWAYS 15 ASTRA'S IN STOCK, Next MOT due 20/06/2015, Service history, Clean bodywork, Interior - Clean Condition, Tyre condition Good, Electric Windows, Power steering, Radio, Airbags, Remote central locking. 5 seats, MDM Motors LTD opening hours: Monday to Friday 9am till 7pm Saturday 9.30am till 5pm Sunday 9.30am till 4pm. More info Tel 0113 2422600 mob 07752 074603. Over 100 Sports, Prestige, People carriers and Diesels in stock on our website with stock changing daily. Visit www.mdmmotorgroupltd.co.uk. BROOKFIELD STREET, HUNSLET, LEEDS, LS10 1JX, OPPOSITE THE COSTCO CASH AND CARRY ON HUNSLET ROAD., £350 p/x welcome"
focus,"RED, Next MOT due 19/07/2015, Cloth interior, Air-Conditioning, Alloy Wheels, Electric Windows, Heated Front Screen, In Car Entertainment. 5 seats, PART EXCHANGE WELCOME.. ALL MAJOR DEBIT CARDS EXCEPTED..., £395 p/x welcome"
golf,"RED, 12 Months Free AA Breakdown Cover, **Next MOT Due Date 12 March 2016** 12 Months warranty offered with small cost on top of the car price. At NTL Car Sales, we are proud to offer you a first class customer service and very competitive pricing. Please browse our stock list at nationaltradelines.co.uk, We stock range of used cars to suit all budgets and lifestyles so we are proud to have the right car for you. Huge choices of vehicles are always in stock. We are based in Birmingham, west midlands area on Grosvenor Road, B6 7ND. About 50 yards from Aston railway station, 20 yards from queens road Aston police station and 300 yards from Aston villa football club. The nearest motorway is M42, M5 and M6. For directions, please take exist from M6 into junction 6, all major debit/credit cards accepted. Visit www.nationaltradelines.co.uk. Speakers, MOT, Safety Belts Rear, Safety Belts, Radio, Engine Immobiliser, Cassette Player, Adjustable Steering, Passenger Airbag, Drivers Airbag, Power Assisted Steering, Electric Windows, Central Locking, ABS, £450"
500,"BLUE, 12 months MOT, Black Cloth interior, Electric Windows, In Car Entertainment, Electric door mirrors, Remote central locking, Power steering, Immobiliser, Alloy wheels. 4 seats, £3,995"
focus,"GREEN, Private Sale, Full Service History,, Next MOT due 30/07/2015, 5 seats, Starts and drives great, with no knocks or squeaks. Last owner for the last 5 years. Only bought this car to use whilst moving houses, Remote central locking, 2 keys, electric windows, Power Steering, Alloy wheels with good tyres all round.  Very little marks around the exterior. Engine sounds good, and drives smooth. Ideal family car with lots of space inside. Has short MoT but only done 2k miles since it s last MoT, so should fly through, had lots done last MoT ...  quick sale needed, as no space for parking.. 1st to see will buy... Location HP12, £390"
polo,"SILVER, 5 seats, Last 2 Owners Both Ladies, 2 Former Keepers From New, 15 SERVICE STAMPS (9 FROM VW MAIN DEALERS) (VEHICLE SHOWS 34000 Miles Due To SPEEDO CHANGE TOTAL MILEAGE ON VEHICLE IS 75000 MILES), CAMBELT KIT CHANGED, MOT FEBRUARY 2016, Power Steering, Airbag, Electric Windows, Electric Mirrors, Remote Central Locking Alarm, CD Player, Colour Coded Bumpers, Looks Fantastic Drives Great, Ideal 1st Car, Cheap & Cheerful, Hpi Clear, Bargain at, £575 p/x to clear"
focus,"Diesel - Excellent car owned for last 13 years. Mot, GREEN, Electric windows, Folding rear seats, Metallic paint, Spare wheel (Full), Power steering, Central locking, Alarm, Driver's airbags, Passenger airbags. 5 seats, £450"
astra,"Solid Blue, 12 months MOT, Clean bodywork, Black Cloth interior - Clean Condition, Tyre condition Good, £395"
polo,"RED, MOT october 2015,taken in part exchange  hence price, Red Cloth interior, 3x3 point rear seat belts, Central locking, Folding rear seats, Power steering, Sunroof, Electric windows. 5 seats, ideal cheap run around., £595"
focus,"--MOT until 30th January 2016, , --Only 1 previous owner, , --129,000 miles, , --Used daily but does need some attention, SILVER, Electric windows, Air conditioning, CD player, Alloy wheels, Power steering, Steering wheel rake adjustment, Central locking, Driver's airbags, Passenger airbags. 5 seats, £450"
corsa,"Mot til 15 July. Need to change passenger side bearing and oil liq., BLUE, 5 seats, £450"
500,"Great mpg being a diesel!! Car comes with private number plates, the car has all of the lounge extras, only £20.00 road tax some wear and tear, the alloy wheels will need some maintance, please see the picture, great car, fun to drive!! Will be sorry to see it go, WHITE, 2 owners, Next MOT due 16/04/2016, Full service history, Electric windows, MP3 player, CD player, Folding rear seats, Alloy wheels, Power steering, Central locking. 4 seats, £3,500"
focus,"Long MOT (February 2016), very reliable car only £500!!!, , I have had the car since February 2012 and its been very reliable for me, its got me to France in July '13 and Cornwall in August '14 with no problems. New car forces sale otherwise would have continued to use the car, the car has been sat outside my home unused since late March and still starts first time. The car has ben serviced by my father-in-law who is a mechanic; oil/filters/plugs have been changed in July '13, I've not had the cam belt changed since I've had the car. The car passed its MOT in February with the following advisory items: Offside rear tyre worn close to the legal limit, nearside rear wheel bearing has slight play; offside rear brake pipe slightly corroded and front brake disc worn, pitted or scored, but not seriously weakened. Overall a decent car for the money, usual wear and tear for a car of its age, inspection welcome., RED, 5+ owners, Next MOT due 21/02/2016, No service history, Electric windows, Height adjustable driver's seat, Height adjustable passenger seat, Folding rear seats, Child seat points (Isofix system), Alloy wheels, Spare wheel (Space-saver), Power steering, Central locking, Immobiliser, Driver's airbags, Passenger airbags. 5 seats, £500"
